Time,AD3_0_ai0,AD3_0_ai1
0 sec,2.96161912645096,3.0329050579555
0.1 sec,2.96070623015023,3.03199106975709
0.2 sec,2.96070623015023,3.03107708155867
0.3 sec,2.96070623015023,3.03107708155867
0.4 sec,2.96070623015023,3.03107708155867
0.5 sec,2.96070623015023,3.03016309336026
0.6 sec,2.95979333384951,3.03016309336026
0.7 sec,2.96070623015023,3.03199106975709
0.8 sec,2.96070623015023,3.0329050579555
0.9 sec,2.96253202275168,3.03199106975709
1 sec,2.96161912645096,3.03199106975709
1.1 sec,2.96070623015023,3.03107708155867
1.2 sec,2.96070623015023,3.03199106975709
1.3 sec,2.96161912645096,3.03199106975709
1.4 sec,2.96161912645096,3.03199106975709
1.5 sec,2.96161912645096,3.03107708155867
1.6 sec,2.96070623015023,3.03107708155867
1.7 sec,2.96253202275168,3.03199106975709
1.8 sec,2.96161912645096,3.03199106975709
1.9 sec,2.96161912645096,3.0329050579555
2 sec,2.96070623015023,3.03199106975709
2.1 sec,2.96070623015023,3.03107708155867
2.2 sec,2.96161912645096,3.03199106975709
2.3 sec,2.96253202275168,3.0329050579555
2.4 sec,2.96070623015023,3.03199106975709
2.5 sec,2.96161912645096,3.03199106975709
2.6 sec,2.96253202275168,3.0329050579555
2.7 sec,2.96344491905241,3.0329050579555
2.8 sec,2.96161912645096,3.03199106975709
2.9 sec,2.96253202275168,3.03199106975709
3 sec,2.96161912645096,3.03199106975709
3.1 sec,2.96161912645096,3.0329050579555
3.2 sec,2.96253202275168,3.03199106975709
3.3 sec,2.96344491905241,3.0329050579555
3.4 sec,2.96253202275168,3.03199106975709
3.5 sec,2.96344491905241,3.03199106975709
3.6 sec,2.96161912645096,3.03199106975709
3.7 sec,2.96344491905241,3.0329050579555
3.8 sec,2.96344491905241,3.03199106975709
3.9 sec,2.96253202275168,3.0329050579555
4 sec,2.96253202275168,3.0329050579555
4.1 sec,2.96344491905241,3.0329050579555
4.2 sec,2.96253202275168,3.03199106975709
4.3 sec,2.96253202275168,3.03199106975709
4.4 sec,2.96344491905241,3.0329050579555
4.5 sec,2.96344491905241,3.0329050579555
4.6 sec,2.96253202275168,3.03199106975709
4.7 sec,2.96253202275168,3.03199106975709
4.8 sec,2.96253202275168,3.03199106975709
4.9 sec,2.96344491905241,3.03199106975709
5 sec,2.96344491905241,3.03199106975709
5.1 sec,2.96344491905241,3.0329050579555
5.2 sec,2.96344491905241,3.03199106975709
5.3 sec,2.96344491905241,3.03199106975709
5.4 sec,2.96344491905241,3.03199106975709
5.5 sec,2.96344491905241,3.0329050579555
5.6 sec,2.96344491905241,3.03199106975709
5.7 sec,2.96435781535313,3.03199106975709
5.8 sec,2.96435781535313,3.0329050579555
5.9 sec,2.96344491905241,3.03199106975709
6 sec,2.96435781535313,3.0329050579555
6.1 sec,2.96344491905241,3.0329050579555
6.2 sec,2.96435781535313,3.03381904615392
6.3 sec,2.96435781535313,3.0329050579555
6.4 sec,2.96344491905241,3.03107708155867
6.5 sec,2.96344491905241,3.03199106975709
6.6 sec,2.96253202275168,3.03016309336026
6.7 sec,2.96253202275168,3.03107708155867
6.8 sec,2.96344491905241,3.03199106975709
6.9 sec,2.96344491905241,3.03199106975709
7 sec,2.96344491905241,3.03199106975709
7.1 sec,2.96344491905241,3.03199106975709
7.2 sec,2.96344491905241,3.0329050579555
7.3 sec,2.96344491905241,3.03199106975709
7.4 sec,2.96344491905241,3.03107708155867
7.5 sec,2.96344491905241,3.03199106975709
7.6 sec,2.96435781535313,3.03199106975709
7.7 sec,2.96344491905241,3.03199106975709
7.8 sec,2.96344491905241,3.03107708155867
7.9 sec,2.96435781535313,3.03199106975709
8 sec,2.96435781535313,3.03199106975709
8.1 sec,2.96344491905241,3.03199106975709
8.2 sec,2.96435781535313,3.03199106975709
8.3 sec,2.96344491905241,3.03107708155867
8.4 sec,2.96527071165386,3.0329050579555
8.5 sec,2.96527071165386,3.03199106975709
8.6 sec,2.96344491905241,3.03199106975709
8.7 sec,2.96344491905241,3.03199106975709
8.8 sec,2.96435781535313,3.0329050579555
8.9 sec,2.96253202275168,3.03199106975709
9 sec,2.96344491905241,3.03199106975709
9.1 sec,2.96344491905241,3.03199106975709
9.2 sec,2.96344491905241,3.03199106975709
9.3 sec,2.96344491905241,3.03199106975709
9.4 sec,2.96344491905241,3.03199106975709
9.5 sec,2.96253202275168,3.03107708155867
9.6 sec,2.96253202275168,3.03107708155867
9.7 sec,2.96344491905241,3.0329050579555
9.8 sec,2.96344491905241,3.0329050579555
9.9 sec,2.96435781535313,3.0329050579555
10 sec,2.96344491905241,3.03199106975709
10.1 sec,2.96344491905241,3.03199106975709
10.2 sec,2.96344491905241,3.03199106975709
10.3 sec,2.96344491905241,3.03107708155867
10.4 sec,2.96344491905241,3.03199106975709
10.5 sec,2.96344491905241,3.03199106975709
10.6 sec,2.96253202275168,3.03107708155867
10.7 sec,2.96344491905241,3.03199106975709
10.8 sec,2.96435781535313,3.0329050579555
10.9 sec,2.96435781535313,3.0329050579555
11 sec,2.96344491905241,3.03199106975709
11.1 sec,2.96435781535313,3.0329050579555
11.2 sec,2.96344491905241,3.03199106975709
11.3 sec,2.96527071165386,3.0329050579555
11.4 sec,2.96344491905241,3.03107708155867
11.5 sec,2.96435781535313,3.03199106975709
11.6 sec,2.96527071165386,3.0329050579555
11.7 sec,2.96344491905241,3.03107708155867
11.8 sec,2.96344491905241,3.03199106975709
11.9 sec,2.96435781535313,3.0329050579555
12 sec,2.96435781535313,3.0329050579555
12.1 sec,2.96618360795458,3.03381904615392
12.2 sec,2.96527071165386,3.0329050579555
12.3 sec,2.96618360795458,3.03381904615392
12.4 sec,2.96527071165386,3.03381904615392
12.5 sec,2.96344491905241,3.03199106975709
12.6 sec,2.96435781535313,3.03199106975709
12.7 sec,2.96435781535313,3.03199106975709
12.8 sec,2.96527071165386,3.0329050579555
12.9 sec,2.96435781535313,3.0329050579555
13 sec,2.96435781535313,3.03381904615392
13.1 sec,2.96618360795458,3.03473303435233
13.2 sec,2.96527071165386,3.03381904615392
13.3 sec,2.96435781535313,3.0329050579555
13.4 sec,2.96435781535313,3.03199106975709
13.5 sec,2.96344491905241,3.03199106975709
13.6 sec,2.96344491905241,3.03107708155867
13.7 sec,2.96435781535313,3.0329050579555
13.8 sec,2.96344491905241,3.03199106975709
13.9 sec,2.96344491905241,3.03199106975709
14 sec,2.96344491905241,3.03199106975709
14.1 sec,2.96253202275168,3.03016309336026
14.2 sec,2.96344491905241,3.03107708155867
14.3 sec,2.96344491905241,3.03107708155867
14.4 sec,2.96435781535313,3.03107708155867
14.5 sec,2.96435781535313,3.03199106975709
14.6 sec,2.96435781535313,3.03199106975709
14.7 sec,2.96344491905241,3.03199106975709
